SPECIES	OBSERVED	GAM	See5	SGB
ABCO	0	0.03072217	1.00E-04	0.026153495
ABCO	0	0.094187153	0.06	0.035369004
ABCO	0	1.00E-04	1.00E-04	0.059542485
ABCO	0	0.084652683	0.17	0.043571598
ABCO	1	0.699450106	0.29	0.405155149
ABCO	0	0.999991113	0.17	0.127276831
ABCO	0	0.151856601	1.00E-04	0.105712651
ABCO	0	0.271936444	0.33	0.082007281
ABCO	0	0.20348494	0.11	0.059973831
ABCO	0	0.187572673	0.37	0.204537467
ABCO	0	0.000255236	1.00E-04	0.021449216
ABCO	0	0.002162287	1.00E-04	0.019114486
ABCO	0	0.012350738	1.00E-04	0.040168551
ABCO	0	1.00E-04	1.00E-04	0.023840483
ABCO	0	0.528600034	0.06	0.071570232
ABCO	0	0.07706156	0.09	0.055105525
ABCO	0	0.022015732	1.00E-04	0.043116734
ABCO	0	0.001276459	1.00E-04	0.015381859
ABCO	0	0.00411878	1.00E-04	0.017910519
ABCO	1	0.245102112	0.08	0.06336953
ABCO	0	0.312259558	0.3	0.457366879
ABCO	0	0.03669834	1.00E-04	0.016879104
ABCO	0	0.4678893	0.1	0.063238377
ABCO	1	0.504433	0.62	0.373731511
ABCO	1	0.602877014	0.73	0.512465481
ABCO	0	0.026011828	0.21	0.046927015
ABCO	1	0.405448845	0.06	0.147347721
ABCO	0	0.028135755	1.00E-04	0.065756352
ABCO	0	0.147769648	0.18	0.074386695
ABCO	0	0.127388417	0.45	0.191888624
ABCO	1	0.69836853	0.8	0.702967291
ABCO	0	0.000517033	1.00E-04	0.017208131
ABCO	0	0.020088365	0.08	0.104741368
ABCO	0	0.105021975	1.00E-04	0.407528644
ABCO	1	0.535037336	0.82	0.461606539
ABCO	0	0.046524395	1.00E-04	0.053775886
ABCO	0	0.020311095	1.00E-04	0.100449367
ABCO	0	0.171089389	0.18	0.344596994
ABCO	0	0.000230803	1.00E-04	0.032295916
ABCO	0	0.753692401	0.28	0.194848886
ABCO	0	0.344376101	1.00E-04	0.070969273
ABCO	0	0.018140117	1.00E-04	0.02457588
ABCO	0	0.04882513	0.07	0.180792461
ABCO	1	0.890026328	0.7	0.858577519
ABCO	0	0.046446493	0.26	0.16222071
ABCO	0	0.125450218	0.15	0.171640249
ABCO	0	0.156733673	0.28	0.246037449
ABCO	0	1.00E-04	1.00E-04	0.021146294
ABCO	0	0.001730299	1.00E-04	0.026847639
ABCO	0	1.00E-04	1.00E-04	0.016611249
ABCO	0	0.024387715	0.16	0.090450029
ABCO	0	0.093621409	0.06	0.026284545
ABCO	0	1.00E-04	1.00E-04	0.020999424
